chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
0.0,0.0,111317,0,0,-1,1,0,3,0.0,0.0,0,David,0.0,60,False,Lack of match fitness - Expected back 01 Oct,2022-08-01T17:30:04.697617Z,54,111317.jpg,0.0,Brooks,0.0,False,,i,3,91,0,175,43,2514,310,0.0,0.0,Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,574,250,571,250,562,243,575,250,,,,,,
75.0,,128309,0,0,-1,1,0,3,-0.9,-0.7,0,Jamal,0.3,61,False,Illness - 75% chance of playing,2022-08-25T11:30:05.802904Z,54,128309.jpg,1.0,Lowe,0.0,False,,d,3,91,1,373,59,2388,468,0.1,0.2,Lowe,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,575,251,572,251,563,244,576,251,,,,,,
,,128340,0,0,0,0,0,4,1.8,2.3,2,Kieffer,3.3,62,False,,,55,128340.jpg,3.3,Moore,1.3,False,,a,3,91,10,120417,16130,55015,17597,0.6,1.8,Moore,269,1,0,1,7,0,0,0,0,0,0,0,34,40.2,29.3,37.0,10.6,152,12,113,13,101,22,117,17,,,,,,
,,133845,0,0,-1,1,0,3,-1.5,-1.0,0,Emiliano,0.0,63,False,,,49,133845.jpg,0.0,Marcondes,0.0,False,,a,3,91,0,193,27,940,172,0.0,0.0,Marcondes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,540,225,534,228,511,212,543,227,,,,,,
,,152551,0,0,0,0,1,3,2.5,3.0,2,Jefferson,4.0,64,False,,,50,152551.jpg,4.0,Lerma Solís,1.0,False,,a,3,91,12,94102,2147,66082,17303,0.8,2.4,Lerma,270,1,0,1,7,1,0,0,0,0,0,2,51,57.4,2.5,22.0,8.2,79,32,245,131,150,85,157,84,,,,,,
,,154131,0,0,-1,1,0,2,-1.8,-1.3,0,Jack,-0.3,65,False,,,44,154131.jpg,-1.0,Stacey,0.0,False,,a,3,91,-1,267,76,1901,342,-0.1,-0.2,Stacey,90,0,0,0,4,0,0,0,1,0,0,0,5,6.6,4.6,0.0,1.1,273,106,218,65,357,147,299,105,,,,,,
75.0,75.0,154566,0,0,-1,1,0,4,-0.6,-0.2,0,Dominic,0.7,66,False,Ankle injury - 75% chance of playing,2022-08-14T00:00:05.733898Z,59,154566.jpg,2.0,Solanke,0.5,False,,d,3,91,2,8144,227,67994,11379,0.1,0.3,Solanke,90,0,0,1,0,0,0,0,0,0,0,0,2,4.4,0.6,43.0,4.8,298,36,298,38,80,18,234,30,,,,,1.0,
,,155408,-1,1,-1,1,0,3,-0.2,0.3,1,Lewis,1.3,67,False,,,49,155408.jpg,1.3,Cook,0.1,False,,a,3,91,4,799,170,2198,548,0.3,0.8,Cook,126,0,0,0,4,0,0,0,0,0,0,0,13,20.4,2.7,0.0,2.4,222,90,241,129,514,215,277,122,,,,,,
,,156687,0,0,0,0,0,3,0.2,0.7,1,Ben,1.7,68,False,,,45,156687.jpg,1.7,Pearson,0.6,False,,a,3,91,5,48443,3545,25503,7843,0.4,1.1,Pearson,206,0,0,1,6,0,0,0,1,0,0,0,15,13.8,2.5,7.0,2.4,244,102,244,130,216,116,276,121,,,,,,
,,158499,-1,1,-1,1,0,3,-0.2,0.3,1,Ryan,1.3,69,False,,,54,158499.jpg,1.3,Christie,0.1,False,,a,3,91,4,602,133,2626,681,0.2,0.7,Christie,91,0,0,0,3,0,0,0,0,0,0,0,17,12.4,2.9,2.0,1.7,247,104,236,127,258,132,290,132,2.0,,3.0,,,
,,168991,0,0,-1,1,0,3,0.2,0.7,2,Philip,1.7,70,False,,,54,168991.jpg,1.7,Billing,0.1,False,,a,3,91,5,1317,168,6642,1514,0.3,0.9,Billing,180,0,0,1,4,0,0,0,1,0,0,0,21,37.8,11.8,4.0,5.4,165,63,193,107,240,125,218,103,,,2.0,,,
,,223911,0,0,0,0,0,2,0.8,1.3,1,Chris,2.3,71,False,,,45,223911.jpg,2.3,Mepham,0.1,False,,a,3,91,7,3397,178,4163,937,0.5,1.6,Mepham,270,0,0,1,7,0,0,0,1,0,0,1,49,65.8,0.8,17.0,8.4,56,15,291,108,169,46,151,47,,,,,,
,,229600,0,0,0,0,0,1,1.5,2.0,2,Mark,3.0,72,False,,,45,229600.jpg,3.0,Travers,0.5,False,,a,3,91,9,19231,930,17147,3375,0.7,2.0,Travers,270,0,0,1,7,0,0,0,0,0,9,0,57,71.6,0.0,0.0,7.2,46,9,478,47,449,47,171,9,,,,,,
,,235530,0,0,0,0,1,2,2.8,3.3,1,Lloyd,4.3,73,False,,,45,235530.jpg,4.3,Kelly,1.4,False,,a,3,91,13,84531,3500,55389,14247,1.0,2.9,Kelly,270,0,1,1,7,0,0,0,0,0,0,3,65,89.2,29.0,2.0,12.1,24,3,114,28,250,83,97,25,,,,,,
,,244085,0,0,-1,1,0,3,-1.5,-1.0,0,Siriki,0.0,74,False,,,49,244085.jpg,0.0,Dembélé,0.1,False,,a,3,91,0,1092,174,4230,1011,0.0,0.0,Dembélé,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,551,234,545,237,527,223,554,236,,,,,,
,,444180,0,0,-1,1,0,3,-1.2,-0.7,1,Jaidon,0.3,75,False,,,54,444180.jpg,1.0,Anthony,0.1,False,,a,3,91,1,1042,175,4332,716,0.1,0.2,Anthony,45,0,0,0,1,0,0,0,0,0,0,0,2,5.0,2.2,0.0,0.7,290,127,251,136,566,245,309,139,3.0,,,,,
100.0,75.0,447932,-1,1,-1,1,0,2,0.5,0.8,0,Jordan,2.0,76,False,,2022-08-14T00:00:05.742682Z,44,447932.jpg,3.0,Zemura,0.1,False,,a,3,91,6,5559,1299,7735,1439,0.5,1.4,Zemura,180,0,0,1,3,0,0,0,1,0,0,0,28,33.6,16.3,4.0,5.4,176,76,170,49,229,68,216,74,,,,,,
,,444172,0,0,0,0,0,1,-1.5,-1.0,0,Will,0.0,77,False,,,40,444172.jpg,0.0,Dennis,0.6,False,,a,3,91,0,6445,1141,9769,2476,0.0,0.0,Dennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,390,49,375,30,316,29,396,49,,,,,,
0.0,0.0,156685,-1,1,-1,1,0,3,0.0,0.0,0,Joe,0.0,505,False,Thigh injury - Expected back 17 Sep,2022-07-31T23:30:04.384595Z,49,156685.jpg,0.0,Rothwell,0.0,False,,i,3,91,0,109,31,399,47,0.0,0.0,Rothwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,542,227,536,230,515,216,545,229,4.0,,,,,
,,201658,0,0,0,0,0,3,0.8,1.3,2,Marcus,2.3,535,False,,,50,201658.jpg,2.3,Tavernier,0.1,False,,a,3,91,7,5271,632,4710,1419,0.5,1.4,Tavernier,254,0,0,1,7,0,0,0,0,0,0,0,29,14.6,60.8,9.0,8.4,240,99,46,32,204,113,152,81,1.0,,1.0,,,
,,463981,0,0,0,0,0,2,-1.5,-1.0,0,James,0.0,539,False,,,45,463981.jpg,0.0,Hill,0.0,False,,a,3,91,0,348,78,1180,273,0.0,0.0,Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,511,203,503,202,477,195,514,203,,,,,,
,,69752,0,0,0,0,0,1,-1.5,-1.0,0,Norberto,0.0,574,False,,,45,69752.jpg,0.0,Murara Neto,0.1,False,,a,3,91,0,1995,453,1718,803,0.0,0.0,Neto,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,453,55,441,37,398,36,460,55,,,,,,
,,221466,0,0,0,0,0,2,-1.0,-0.5,0,Marcos,0.5,576,False,,,45,221466.jpg,0.5,Senesi,0.0,False,,a,3,91,1,849,150,486,257,0.1,0.2,Senesi,55,0,0,0,2,0,0,0,0,0,0,0,6,11.0,0.1,0.0,1.1,252,100,317,116,442,185,300,106,,,,,,
,,61810,0,0,0,0,0,2,2.7,3.2,1,Pontus,2.7,78,False,,,45,61810.jpg,2.7,Jansson,1.9,False,,a,4,94,8,25145,4695,41315,12857,0.6,1.8,Jansson,270,0,0,1,5,0,0,0,0,0,0,0,50,52.6,0.7,2.0,5.6,96,32,295,110,246,79,206,69,,,,,,
,,128295,0,0,0,0,0,3,4.3,4.8,8,Christian,4.3,79,False,,,55,128295.jpg,4.3,Nørgaard,0.4,False,,a,4,94,13,14788,8804,10002,3000,0.8,2.4,Nørgaard,241,1,0,1,5,0,0,0,0,0,0,1,47,57.8,17.6,24.0,9.9,77,30,164,96,142,81,132,72,,,,,,
,,144485,1,-1,2,-2,0,4,8.3,8.8,8,Ivan,8.3,80,True,,,72,144485.jpg,8.3,Toney,17.6,False,,a,4,94,25,1213285,412248,189323,51885,1.2,3.5,Toney,270,2,2,1,5,0,0,0,0,0,0,5,82,114.4,82.0,87.0,28.4,11,4,18,1,32,11,13,5,,,,,1.0,
,,154561,0,0,0,0,0,1,4.0,4.5,3,David,4.0,81,False,,,45,154561.jpg,4.0,Raya Martin,6.2,False,,a,4,94,12,158424,41387,103013,28808,0.9,2.7,Raya,270,0,0,1,5,0,0,0,0,0,13,0,65,91.2,0.0,0.0,9.2,21,4,455,44,417,44,142,5,,,,,,
0.0,0.0,174932,0,0,0,0,0,2,0.0,0.0,0,Sergi,0.0,82,False,Hamstring injury - Expected back 30 Aug,2022-07-05T15:30:04.130646Z,50,174932.jpg,0.0,Canós Tenés,0.0,False,,i,4,94,0,392,102,749,185,0.0,0.0,Canós,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,561,210,557,210,541,207,563,210,,,5.0,,,
,,183656,0,0,1,-1,0,3,5.0,5.5,1,Josh,5.0,83,False,,,46,183656.jpg,5.0,Dasilva,11.0,False,,a,4,94,15,1064270,102792,225643,122274,1.1,3.3,Dasilva,165,2,0,1,2,0,0,0,1,0,0,0,50,74.6,4.8,20.0,10.0,43,17,215,121,155,88,128,70,3.0,,,,4.0,
0.0,0.0,191866,0,0,0,0,0,2,0.0,0.0,0,Kristoffer,0.0,84,False,Hamstring injury - Expected back 30 Aug,2022-07-09T23:30:03.939569Z,45,191866.jpg,0.0,Ajer,0.0,False,,i,4,94,0,282,45,1056,185,0.0,0.0,Ajer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,470,195,461,194,425,178,477,195,,,,,,
,,194010,0,0,0,0,0,2,3.7,4.2,1,Rico,3.7,85,False,,,45,194010.jpg,3.7,Henry,1.4,False,,a,4,94,11,101527,16024,38769,13890,0.8,2.4,Henry,270,0,1,1,5,0,0,0,0,0,0,0,50,43.4,21.4,34.0,9.9,130,50,151,40,108,26,131,39,,,,,,
,,204580,0,0,0,0,0,3,1.3,1.8,1,Vitaly,1.3,86,False,,,55,204580.jpg,1.3,Janelt,0.1,False,,a,4,94,4,1340,186,2427,733,0.2,0.7,Janelt,148,0,0,0,3,0,0,0,0,0,0,0,23,26.2,24.8,40.0,9.1,206,84,131,81,93,56,145,78,4.0,,,,,
,,205836,0,0,0,0,0,3,0.3,0.8,1,Saman,0.3,87,False,,,50,205836.jpg,1.0,Ghoddos,0.0,False,,a,4,94,1,558,133,1070,306,0.1,0.2,Ghoddos,7,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,565,242,561,243,545,231,567,243,,,4.0,,,
,,207283,1,-1,1,-1,1,3,6.3,6.8,4,Mathias,6.3,88,False,,,51,207283.jpg,6.3,Jensen,3.1,False,,a,4,94,19,311719,71505,65669,33067,1.2,3.7,Jensen,190,1,2,1,4,0,0,0,0,0,0,3,63,81.0,59.1,24.0,16.5,34,14,48,33,141,80,53,36,1.0,,1.0,,,
,,216646,0,0,-1,1,0,3,2.7,3.2,5,Yoane,2.7,89,False,,,54,216646.jpg,2.7,Wissa,0.2,False,,a,4,94,8,5424,2184,8927,1732,0.5,1.5,Wissa,182,0,1,0,4,0,0,0,0,0,0,0,19,24.0,18.4,41.0,8.3,214,86,159,92,90,54,154,83,,,,,,
75.0,,226956,0,0,0,0,0,2,1.5,2.5,0,Mads,2.0,90,False,Ankle injury - 75% chance of playing,2022-08-24T16:30:05.907130Z,45,226956.jpg,6.0,Roerslev Rasmussen,0.1,False,,d,4,94,6,718,97,1489,578,0.4,1.3,Roerslev,90,0,0,1,0,0,0,0,0,0,0,0,20,19.4,1.5,0.0,2.1,226,92,265,91,447,187,282,101,,,,,,
,,228044,0,0,0,0,0,2,0.7,1.2,0,Mads,0.7,91,False,,,45,228044.jpg,1.0,Bech Sørensen,0.1,False,,a,4,94,2,1319,213,2019,651,0.2,0.4,Bech,16,0,0,0,0,0,0,0,0,0,0,0,6,2.6,0.2,0.0,0.2,308,116,314,114,448,188,333,121,,,,,,
0.0,0.0,231065,0,0,-1,1,0,2,0.0,0.0,0,Ethan,0.0,92,False,Knee injury - Unknown return date,2022-07-22T23:00:04.442209Z,44,231065.jpg,0.0,Pinnock,0.0,False,,i,4,94,0,68,15,1313,184,0.0,0.0,Pinnock,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,432,182,420,181,369,157,439,182,,,,,,
,,428580,0,0,0,0,0,3,0.3,0.8,0,Frank,0.3,93,False,,,50,428580.jpg,1.0,Onyeka,0.0,False,,a,4,94,1,888,174,1675,539,0.1,0.2,Onyeka,10,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.7,0.0,0.1,567,244,296,148,550,234,341,157,,,,,,
,,432160,0,0,0,0,0,3,1.0,1.5,1,Shandon,1.0,94,False,,,45,432160.jpg,1.0,Baptiste,0.3,False,,a,4,94,3,11884,1826,11006,3687,0.2,0.7,Baptiste,49,0,0,0,1,0,0,0,0,0,0,0,17,14.2,11.8,18.0,4.4,243,101,192,106,166,92,242,112,,,,,,
,,446008,0,0,0,0,0,4,3.3,3.8,2,Bryan,3.3,95,False,,,60,446008.jpg,3.3,Mbeumo,3.0,False,,a,4,94,10,144222,28242,105699,34982,0.6,1.7,Mbeumo,252,1,0,1,5,0,0,0,0,0,0,0,56,57.4,61.0,90.0,20.9,82,9,45,4,30,10,33,8,2.0,,3.0,,2.0,
,,213687,0,0,0,0,0,2,0.0,0.5,0,Charlie,0.0,96,False,,,40,213687.jpg,0.0,Goode,0.6,False,,a,4,94,0,10391,2276,15896,4328,0.0,0.0,Goode,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,373,139,358,135,299,104,379,138,,,,,,
0.0,0.0,216620,0,0,0,0,0,4,0.0,0.0,0,Marcus,0.0,97,False,Transferred to Middlesbrough,2022-07-28T16:30:04.354162Z,45,216620.jpg,0.0,Forss,0.1,False,,u,4,94,0,0,0,6526,1041,0.0,0.0,Forss,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,479,44,472,45,439,45,486,47,,,,,,
0.0,0.0,232247,0,0,0,0,0,2,0.0,0.0,0,Dominic,0.0,98,False,Transferred to Blackpool,2022-07-25T23:00:04.235293Z,40,232247.jpg,0.0,Thompson,0.0,False,,u,4,94,0,0,0,1596,234,0.0,0.0,Thompson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,380,142,365,138,306,107,386,141,,,,,,
0.0,0.0,481405,0,0,0,0,0,3,0.0,0.0,0,Mads,0.0,99,False,Season-long loan to FC Nordsjælland,2022-07-15T15:58:39.010980Z,45,481405.jpg,0.0,Bidstrup,0.0,False,,u,4,94,0,0,0,80,13,0.0,0.0,Bidstrup,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,513,201,505,205,479,187,516,203,,,,,,
0.0,0.0,235448,0,0,0,0,0,1,0.0,0.0,0,Ellery,0.0,100,False,Joined Crawley Town on loan - Expected back 01 Jul,2022-07-31T21:00:04.294454Z,40,235448.jpg,0.0,Balcombe,0.1,False,,u,4,94,0,0,0,3695,630,0.0,0.0,Balcombe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,384,46,369,27,310,26,390,46,,,,,,
,,472713,0,0,0,0,0,2,2.3,2.8,0,Aaron,2.3,510,False,,,50,472713.jpg,2.3,Hickey,0.4,False,,a,4,94,7,16492,3304,12438,5717,0.5,1.4,Hickey,221,0,0,1,4,0,0,0,0,0,0,0,30,12.6,4.7,21.0,3.8,246,98,217,64,153,40,256,89,,,,,,
75.0,,249231,0,0,-1,1,0,3,0.5,1.2,1,Keane,0.7,515,False,Knock - 75% chance of playing,2022-08-24T16:30:06.311957Z,54,249231.jpg,1.0,Lewis-Potter,0.1,False,,d,4,94,2,780,118,4448,1004,0.1,0.4,Lewis-Potter,61,0,0,0,1,0,0,0,0,0,0,0,7,8.4,10.4,26.0,4.4,268,115,203,112,133,75,244,114,,,,,,
,,140200,-1,1,-1,1,0,1,0.0,0.5,0,Thomas,0.0,517,False,,,44,140200.jpg,0.0,Strakosha,0.2,False,,a,4,94,0,1198,307,5708,1354,0.0,0.0,Strakosha,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,423,53,410,34,354,33,430,53,,,,,,
,,51927,0,0,1,-1,1,2,4.7,5.2,0,Ben,4.7,526,False,,,46,51927.jpg,4.7,Mee,3.5,False,,a,4,94,14,323890,31221,91561,52463,1.0,3.0,Mee,238,1,0,1,5,0,0,0,1,0,0,2,48,54.6,2.7,48.0,10.6,92,29,240,80,70,9,115,31,,,,,,
,,450550,0,0,0,0,0,2,0.0,0.5,0,Fin,0.0,540,False,,,40,450550.jpg,0.0,Stevens,0.3,False,,a,4,94,0,8982,1717,7613,2354,0.0,0.0,Stevens,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,393,151,378,147,319,116,399,150,,,,,,
,,434662,0,0,0,0,0,4,1.3,1.8,0,Halil,1.3,541,False,,,45,434662.jpg,4.0,Dervişoğlu,2.7,False,,a,4,94,4,245589,17485,99018,32696,0.3,0.9,Dervişoğlu,6,0,1,0,0,0,0,0,0,0,0,0,11,0.0,0.0,10.0,1.0,495,47,486,47,198,32,304,38,,,,,,
,,440089,0,0,0,0,0,3,0.0,0.5,0,Mikkel,0.0,580,False,,,55,440089.jpg,0.0,Damsgaard,0.1,False,,a,4,94,0,15547,1385,7455,3710,0.0,0.0,Damsgaard,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,582,254,582,254,577,250,583,254,,,,,,
,,39155,0,0,0,0,0,3,3.2,2.7,3,Adam,2.7,101,False,,,50,39155.jpg,2.7,Lallana,0.3,False,,a,5,36,8,14066,2056,8746,2960,0.5,1.6,Lallana,201,0,0,2,1,0,0,0,0,0,0,0,26,27.2,56.0,42.0,12.6,201,80,53,38,85,52,88,53,,,,,,
,,49262,0,0,0,0,0,1,0.5,0.0,0,Jason,0.0,102,False,,,40,49262.jpg,0.0,Steele,0.9,False,,a,5,36,0,9448,2510,10809,3028,0.0,0.0,Steele,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,347,30,331,10,271,9,353,30,,,,,,
,,50175,0,0,0,0,0,4,5.2,4.7,5,Danny,4.7,103,False,,,65,50175.jpg,4.7,Welbeck,1.7,False,,a,5,36,14,129256,33692,57715,16028,0.7,2.2,Welbeck,270,0,2,2,1,0,0,0,0,0,0,2,41,31.8,65.1,82.0,17.9,184,16,39,3,37,12,48,10,,,,,,
,,60307,0,0,2,-2,1,3,8.5,8.0,6,Pascal,8.0,104,True,,,57,60307.jpg,8.0,Groß,9.2,False,,a,5,36,24,826251,187166,182994,62429,1.4,4.2,Groß,270,2,1,2,1,0,0,0,0,0,0,3,75,117.8,98.3,97.0,31.3,9,5,11,9,24,18,11,7,1.0,,,,2.0,
,,83299,0,0,0,0,0,2,5.5,5.0,6,Lewis,5.0,106,False,,,45,83299.jpg,5.0,Dunk,3.1,False,,a,5,36,15,140812,54199,49210,14725,1.1,3.3,Dunk,270,0,0,2,1,0,0,0,0,0,0,1,63,51.2,0.6,4.0,5.6,102,36,297,111,231,70,207,70,,,,,,
,,109345,0,0,0,0,0,3,3.8,3.3,3,Solly,3.3,107,False,,,50,109345.jpg,3.3,March,0.4,False,,a,5,36,10,39677,4122,17414,5238,0.7,2.0,March,248,0,1,2,1,0,0,0,1,0,0,0,38,40.4,39.0,76.0,15.6,150,59,88,60,42,28,58,40,3.0,,4.0,,,
,,110735,0,0,0,0,0,2,5.2,4.7,6,Adam,4.7,108,False,,,45,110735.jpg,4.7,Webster,0.3,False,,a,5,36,14,13697,5857,5907,1594,1.0,3.1,Webster,270,0,0,2,1,0,0,0,0,0,0,0,53,39.6,4.1,23.0,6.7,155,66,220,67,144,36,186,59,,,,,,
,,111478,0,0,0,0,2,2,6.5,6.0,8,Joël,6.0,109,False,,,45,111478.jpg,6.0,Veltman,1.8,False,,a,5,36,18,134356,99926,25718,13660,1.3,4.0,Veltman,270,0,0,2,1,0,0,0,0,0,0,4,74,77.8,8.7,22.0,10.9,38,12,206,61,148,38,108,28,,,,,,
,,115382,0,0,-2,2,0,4,0.5,0.0,0,Neal,0.0,110,False,,,63,115382.jpg,0.0,Maupay,0.6,False,,a,5,36,0,10732,2528,52999,9336,0.0,0.0,Maupay,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,588,58,588,58,588,59,589,59,,,,,3.0,
,,116216,0,0,0,0,0,3,4.5,4.0,8,Leandro,4.0,111,False,,,65,116216.jpg,4.0,Trossard,2.3,False,,a,5,36,12,85639,32116,76999,15755,0.6,1.8,Trossard,238,1,0,2,1,0,0,0,1,0,0,0,36,45.4,70.4,132.0,24.8,120,51,34,24,9,4,17,11,,,3.0,,4.0,
,,215059,0,0,0,0,0,1,6.5,6.0,8,Robert,6.0,113,False,,,45,215059.jpg,6.0,Sánchez,13.4,False,,a,5,36,18,397452,161569,149633,34572,1.3,4.0,Sánchez,270,0,0,2,1,0,0,0,0,0,9,2,69,68.8,0.0,0.0,6.9,51,12,470,46,436,46,180,12,,,,,,
,,232792,-1,1,-1,1,0,2,1.2,0.7,0,Tariq,0.7,114,False,,,44,232792.jpg,1.0,Lamptey,2.1,False,,a,5,36,2,23457,3297,72934,21595,0.2,0.5,Lamptey,30,0,0,0,0,0,0,0,0,0,0,0,5,0.4,1.3,2.0,0.4,331,120,268,93,245,78,316,115,,,,,,
,,235382,0,0,0,0,0,3,0.5,0.0,0,Steven,0.0,115,False,,,45,235382.jpg,0.0,Alzate,0.2,False,,a,5,36,0,6227,879,8308,2405,0.0,0.0,Alzate,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,486,185,480,191,451,171,493,189,,,,,,
,,243016,0,0,0,0,0,3,4.8,4.3,11,Alexis,4.3,116,False,,,55,243016.jpg,4.3,Mac Allister,0.3,False,,a,5,36,13,15829,11780,8412,2651,0.8,2.4,Mac Allister,270,1,0,2,1,1,0,0,1,0,0,3,50,57.4,12.2,29.0,9.9,80,33,190,105,124,67,133,73,2.0,,1.0,,1.0,
0.0,0.0,243505,0,0,0,0,0,3,0.0,0.0,0,Jakub,0.0,117,False,Knee injury - Unknown return date,2022-07-05T15:30:04.143244Z,45,243505.jpg,0.0,Moder,0.0,False,,i,5,36,0,312,51,1454,314,0.0,0.0,Moder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,488,187,482,193,453,173,495,191,,,2.0,,,
,,423649,0,0,-1,1,0,3,1.5,1.0,1,Enock,1.0,118,False,,,54,423649.jpg,1.0,Mwepu,0.1,False,,a,5,36,3,1990,390,5854,1357,0.2,0.6,Mwepu,44,0,0,0,0,0,0,0,0,0,0,0,14,15.8,23.0,10.0,4.9,236,97,139,85,200,110,231,109,,,,,,
75.0,,441192,0,0,0,0,0,3,0.4,0.0,0,Jeremy,0.0,119,False,Knock - 75% chance of playing,2022-08-22T08:30:05.866819Z,45,441192.jpg,0.0,Sarmiento Morante,0.1,False,,d,5,36,0,2461,231,3841,1365,0.0,0.0,Sarmiento,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,500,192,492,197,464,178,503,195,,,,,,
,,486672,0,0,0,0,0,3,3.2,2.7,3,Moisés,2.7,120,False,,,50,486672.jpg,2.7,Caicedo Corozo,0.3,False,,a,5,36,8,17578,3242,7342,2913,0.5,1.6,Caicedo,270,0,0,2,1,0,0,0,0,0,0,0,43,47.4,53.9,19.0,12.1,114,48,57,41,160,90,98,58,,,,,,
0.0,0.0,209045,0,0,0,0,0,3,0.0,0.0,0,Taylor,0.0,121,False,Joined QPR on loan - Expected back 01 Jul,2022-07-22T22:30:04.788277Z,45,209045.jpg,0.0,Richards,0.0,False,,u,5,36,0,0,0,302,51,0.0,0.0,Richards,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,476,177,467,183,433,163,483,181,,,,,,
0.0,0.0,433589,0,0,0,0,0,2,0.0,0.0,0,Haydon,0.0,122,False,Joined Derby County on loan - Expected back 01 Jul,2022-07-09T22:00:04.021716Z,40,433589.jpg,0.0,Roberts,0.0,False,,u,5,36,0,0,0,288,45,0.0,0.0,Roberts,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,387,146,372,142,313,111,393,145,,,,,,
,,450434,0,0,-1,1,0,4,0.8,0.3,0,Deniz,0.3,123,False,,,54,450434.jpg,1.0,Undav,0.5,False,,a,5,36,1,7629,1298,35540,8851,0.1,0.2,Undav,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,578,54,575,54,567,53,579,55,,,,,,
,,451340,0,0,0,0,0,3,1.2,0.7,1,Kaoru,0.7,124,False,,,50,451340.jpg,1.0,Mitoma,0.1,False,,a,5,36,2,2610,178,2347,821,0.1,0.4,Mitoma,16,0,0,0,0,0,0,0,0,0,0,0,14,6.4,11.0,6.0,2.3,275,118,199,109,218,117,280,125,,,,,,
,,474120,-1,1,-1,1,0,4,0.5,0.0,0,Julio,0.0,125,False,,,49,474120.jpg,0.0,Enciso,0.4,False,,a,5,36,0,7818,1722,18774,4210,0.0,0.0,Enciso,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,553,51,546,51,529,50,556,52,,,,,,
,,484658,0,0,0,0,0,3,0.5,0.0,0,Kacper,0.0,126,False,,,45,484658.jpg,0.0,Kozłowski,0.1,False,,a,5,36,0,1651,278,2911,809,0.0,0.0,Kozłowski,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,515,203,507,207,481,189,518,205,,,,,,
0.0,0.0,240514,0,0,0,0,0,1,0.0,0.0,0,Kjell,0.0,542,False,Season-long loan to Vitesse Arnhem,2022-08-17T10:33:33.723103Z,40,240514.jpg,0.0,Scherpen,0.1,False,,u,5,36,0,1447,0,2936,935,0.0,0.0,Scherpen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,385,47,370,28,311,27,391,47,,,,,,
