element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
1,41,2,0,True,2022-08-31T18:30:00Z,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1611,17790,405,2016,1,Cédric,2
2,44,5,2,True,2022-08-30T18:30:00Z,2,1,5,90,0,0,0,1,0,0,0,0,0,2,0,13,19.0,10.0,0.0,2.9,45,4041,130735,10100,6059,9,Leno,1
3,41,2,2,True,2022-08-31T18:30:00Z,2,1,5,90,0,0,0,1,0,0,0,0,0,0,0,14,12.6,25.0,8.0,4.6,50,10781,288460,49435,38654,1,Xhaka,3
4,41,2,0,True,2022-08-31T18:30:00Z,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-9174,110818,10920,20094,1,Elneny,3
5,41,2,1,True,2022-08-31T18:30:00Z,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,5,2.2,0.0,0.0,0.2,43,-648,12085,461,1109,1,Holding,2
6,41,2,0,True,2022-08-31T18:30:00Z,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-15298,40160,407,15705,1,Partey,3
7,41,2,1,True,2022-08-31T18:30:00Z,2,1,5,80,0,0,0,1,0,0,0,1,0,0,0,12,13.0,37.8,47.0,9.8,66,558793,2044513,598888,40095,1,Ødegaard,3
8,41,2,2,True,2022-08-31T18:30:00Z,2,1,5,90,0,0,0,1,0,0,0,0,0,0,0,8,11.0,3.1,21.0,3.5,49,2023,91991,9526,7503,1,Tierney,2
9,41,2,0,True,2022-08-31T18:30:00Z,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-5267,17547,0,5267,1,Pépé,3
10,41,2,8,True,2022-08-31T18:30:00Z,2,1,5,64,0,0,1,0,0,0,0,0,0,0,2,29,5.4,13.5,2.0,2.1,45,-22463,518671,22981,45444,1,White,2
11,41,2,1,True,2022-08-31T18:30:00Z,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.4,5.0,0.3,67,-3885,40171,1594,5479,1,Nketiah,4
12,41,2,1,True,2022-08-31T18:30:00Z,2,1,5,9,0,0,0,0,0,0,0,0,0,0,0,4,3.4,10.9,0.0,1.4,58,-10373,70354,2997,13370,1,Smith Rowe,3
13,41,2,5,True,2022-08-31T18:30:00Z,2,1,5,87,0,1,0,1,0,0,0,0,0,0,0,19,24.6,42.7,49.0,11.6,79,-182936,1189232,22544,205480,1,Saka,3
14,41,2,1,True,2022-08-31T18:30:00Z,2,1,5,26,0,0,0,1,0,0,0,0,0,0,0,9,8.4,10.8,4.0,2.3,43,-10096,86069,2673,12769,1,Tomiyasu,2
15,41,2,2,True,2022-08-31T18:30:00Z,2,1,5,90,0,0,0,1,0,0,0,0,0,2,0,13,17.4,0.0,0.0,1.7,50,-53340,1407588,48276,101616,1,Ramsdale,1
16,41,2,2,True,2022-08-31T18:30:00Z,2,1,5,90,0,0,0,1,0,0,0,0,0,0,0,16,17.4,1.3,69.0,8.8,50,176657,994950,213104,36447,1,Gabriel,2
17,41,2,0,True,2022-08-31T18:30:00Z,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-107,1100,0,107,1,Tavares,2
18,41,2,2,True,2022-08-31T18:30:00Z,2,1,5,90,0,0,0,1,0,0,0,0,0,0,0,15,10.8,6.2,0.0,1.7,44,-418,26009,3244,3662,1,Sambi,3
19,41,2,10,True,2022-08-31T18:30:00Z,2,1,5,90,1,0,0,1,0,0,0,0,0,0,3,34,44.0,30.7,69.0,14.4,64,-151656,3952017,117275,268931,1,Martinelli,3
