element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
38,32,19,0,True,2022-08-28T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-276,1809,18,294,2,Hause,2
39,32,19,0,True,2022-08-28T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-56063,437220,8200,64263,2,Mings,2
40,32,19,2,True,2022-08-28T13:00:00Z,0,1,4,90,0,0,0,1,0,0,0,0,0,0,0,6,4.6,2.5,35.0,4.2,74,19227,395239,64190,44963,2,Watkins,4
41,32,19,0,True,2022-08-28T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2348,17472,941,3289,2,Nakamba,3
42,32,19,1,True,2022-08-28T13:00:00Z,0,1,4,24,0,0,0,1,0,0,0,0,0,0,0,6,6.6,15.3,0.0,2.2,60,-15623,56809,3475,19098,2,Buendía,3
43,32,19,1,True,2022-08-28T13:00:00Z,0,1,4,90,0,0,0,1,0,0,0,1,0,0,0,6,15.6,1.4,8.0,2.5,48,-157864,865546,16376,174240,2,Cash,2
44,32,19,2,True,2022-08-28T13:00:00Z,0,1,4,90,0,0,0,1,0,0,0,0,0,0,0,16,17.2,0.3,0.0,1.8,45,-2952,24663,996,3948,2,Konsa,2
45,32,19,1,True,2022-08-28T13:00:00Z,0,1,4,12,0,0,0,0,0,0,0,0,0,0,0,4,4.4,4.6,10.0,1.9,48,-177075,863231,29892,206967,2,Bailey,3
46,32,19,3,True,2022-08-28T13:00:00Z,0,1,4,65,0,0,1,0,0,0,0,0,0,0,0,11,2.4,2.3,0.0,0.5,48,-6949,35142,845,7794,2,Douglas Luiz,3
47,32,19,1,True,2022-08-28T13:00:00Z,0,1,4,24,0,0,0,1,0,0,0,0,0,0,0,4,6.4,11.8,9.0,2.7,53,-27037,114625,2052,29089,2,Ramsey,3
48,35,10,0,True,2022-08-27T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,2927,57609,14267,11340,6,Chukwuemeka,3
49,32,19,0,True,2022-08-28T13:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-369,3551,164,533,2,Iroegbunam,3
