element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
1,21,3,0,False,2022-08-20T16:30:00Z,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-4337,20960,879,5216,1,Cédric,2
2,24,4,2,True,2022-08-20T14:00:00Z,3,2,3,90,0,0,0,2,0,0,0,0,0,3,0,15,25.8,0.0,0.0,2.6,45,-13340,121123,3510,16850,9,Leno,1
3,21,3,6,False,2022-08-20T16:30:00Z,0,3,3,87,0,1,1,0,0,0,0,0,0,0,0,25,25.8,34.0,6.0,6.6,50,112040,216726,137326,25286,1,Xhaka,3
4,21,3,0,False,2022-08-20T16:30:00Z,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,21882,131934,57920,36038,1,Elneny,3
5,21,3,0,False,2022-08-20T16:30:00Z,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2174,13295,683,2857,1,Holding,2
6,21,3,3,False,2022-08-20T16:30:00Z,0,3,3,90,0,0,1,0,0,0,0,0,0,0,0,13,13.2,3.8,0.0,1.7,50,-5523,61170,8704,14227,1,Partey,3
7,21,3,16,False,2022-08-20T16:30:00Z,0,3,3,73,2,0,1,0,0,0,0,0,0,0,3,47,67.8,10.0,42.0,12.0,64,-188934,1025266,67382,256316,1,Ødegaard,3
8,21,3,1,False,2022-08-20T16:30:00Z,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,49,-12863,95230,4859,17722,1,Tierney,2
9,21,3,0,False,2022-08-20T16:30:00Z,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-6444,27844,2135,8579,1,Pépé,3
10,21,3,7,False,2022-08-20T16:30:00Z,0,3,3,74,0,0,1,0,0,0,0,0,0,0,1,29,11.0,4.3,2.0,1.7,45,-43654,533476,29194,72848,1,White,2
11,21,3,1,False,2022-08-20T16:30:00Z,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,-1,5.4,10.9,17.0,3.3,68,-14362,47543,2722,17084,1,Nketiah,4
