element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
531,12,2,0,False,2022-08-13T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-338,5824,220,558,8,Vinagre,2
532,20,20,1,False,2022-08-13T14:00:00Z,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,45,-1472,17086,1055,2527,9,Mbabu,2
533,13,4,-1,False,2022-08-13T16:30:00Z,4,0,2,45,0,0,0,4,0,0,0,0,0,0,0,14,9.0,2.1,0.0,1.1,45,-11780,284746,23158,34938,14,Martínez,2
534,12,2,2,False,2022-08-13T11:30:00Z,2,1,2,63,0,0,0,1,0,0,0,0,0,0,0,5,4.0,19.5,22.0,4.6,55,-2026,34015,2303,4329,8,McNeil,3
535,17,13,2,False,2022-08-13T14:00:00Z,4,0,2,79,0,0,0,4,0,0,0,0,0,0,0,2,1.6,1.2,0.0,0.3,50,1691,10752,2807,1116,3,Tavernier,3
536,18,19,3,True,2022-08-14T13:00:00Z,1,0,2,83,0,0,1,0,0,0,0,0,0,0,0,4,1.6,4.4,8.0,1.4,50,-376,3453,135,511,16,Mangala,3
537,12,8,0,True,2022-08-13T11:30:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-225,13638,1637,1862,2,Kesler Hayden,2
538,12,8,0,True,2022-08-13T11:30:00Z,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,45,-860,12338,1034,1894,2,Young,2
539,17,13,0,False,2022-08-13T14:00:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-247,3012,176,423,3,Hill,2
540,13,14,0,True,2022-08-13T16:30:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,1228,24458,3100,1872,4,Stevens,2
541,13,14,0,True,2022-08-13T16:30:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,73115,164064,89300,16185,4,Dervişoğlu,4
542,14,15,0,True,2022-08-13T14:00:00Z,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,414,10048,908,494,5,Scherpen,1
543,14,15,0,True,2022-08-13T14:00:00Z,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,2044,24265,4029,1985,5,Clarke,2
544,14,15,0,True,2022-08-13T14:00:00Z,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,2151,24072,4090,1939,5,Van Hecke,2
545,15,18,0,True,2022-08-14T15:30:00Z,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,936,40477,5456,4520,6,Emerson,2
546,20,20,0,False,2022-08-13T14:00:00Z,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,92,4507,691,599,9,Harris,3
547,19,17,0,False,2022-08-13T14:00:00Z,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-16,9380,811,827,11,Drameh,2
548,11,1,0,False,2022-08-13T14:00:00Z,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-9580,248755,11351,20931,10,Iversen,1
549,11,1,1,False,2022-08-13T14:00:00Z,4,2,2,27,0,0,0,1,0,0,0,0,0,0,0,2,0.0,1.2,0.0,0.1,50,-162,1666,94,256,10,Praet,3
550,13,4,0,False,2022-08-13T16:30:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-138,15008,2048,2186,14,Amad,3
551,13,4,0,False,2022-08-13T16:30:00Z,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-781,17643,1914,2695,14,Iqbal,3
552,14,5,0,False,2022-08-13T14:00:00Z,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,1001,16148,2914,1913,15,Anderson,3
553,18,19,0,True,2022-08-14T13:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-98,4032,394,492,16,Hammond,3
554,15,6,0,False,2022-08-14T15:30:00Z,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-179,2200,217,396,18,Bryan,3
555,18,16,0,False,2022-08-14T13:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,2287,25938,4478,2191,19,Ashby,2
556,18,16,0,False,2022-08-14T13:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,308,13110,1723,1415,19,Coventry,3
557,20,9,0,True,2022-08-13T14:00:00Z,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,2831,62806,5197,2366,20,Smith,1
558,20,9,0,True,2022-08-13T14:00:00Z,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,3171,60313,7523,4352,20,Bueno,2
