element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
1,142,6,0,False,2022-11-06T12:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-161,14350,156,317,1,Cédric,2
2,145,13,2,False,2022-11-05T15:00:00Z,2,1,15,90,0,0,0,2,0,0,0,0,0,3,0,16,19.4,0.0,0.0,1.9,45,-90,172523,6349,6439,9,Leno,1
3,142,6,3,False,2022-11-06T12:00:00Z,0,1,15,90,0,0,1,0,0,0,0,0,0,0,0,16,20.4,4.6,22.0,4.7,51,-9632,429403,28099,37731,1,Xhaka,3
4,142,6,1,False,2022-11-06T12:00:00Z,0,1,15,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.5,0.0,0.2,42,5537,71884,11507,5970,1,Elneny,3
5,142,6,1,False,2022-11-06T12:00:00Z,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,42,-247,12120,145,392,1,Holding,2
6,142,6,3,False,2022-11-06T12:00:00Z,0,1,15,90,0,0,1,0,0,0,0,0,0,0,0,14,12.2,2.6,11.0,2.6,48,2336,55765,5751,3415,1,Partey,3
7,142,6,3,False,2022-11-06T12:00:00Z,0,1,15,86,0,0,1,0,0,0,0,0,0,0,0,6,9.8,27.3,6.0,4.3,64,-10117,1402492,45977,56094,1,Ødegaard,3
8,142,6,1,False,2022-11-06T12:00:00Z,0,1,15,12,0,0,0,0,0,0,0,0,0,0,0,5,3.8,0.0,0.0,0.4,48,-2020,89045,1811,3831,1,Tierney,2
9,142,6,0,False,2022-11-06T12:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-118,12085,0,118,1,Pépé,3
10,142,6,5,False,2022-11-06T12:00:00Z,0,1,15,90,0,0,1,0,0,0,0,1,0,0,0,21,10.4,12.8,7.0,3.0,46,26888,909298,53353,26465,1,White,2
11,142,6,0,False,2022-11-06T12:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,4,37096,1296,1292,1,Nketiah,4
12,142,6,0,False,2022-11-06T12:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-844,41117,53,897,1,Smith Rowe,3
13,142,6,5,False,2022-11-06T12:00:00Z,0,1,15,90,0,1,1,0,0,0,0,1,0,0,0,16,23.8,43.5,6.0,7.3,80,-120800,1787092,83891,204691,1,Saka,3
14,142,6,0,False,2022-11-06T12:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-4140,94795,5554,9694,1,Tomiyasu,2
15,142,6,6,False,2022-11-06T12:00:00Z,0,1,15,90,0,0,1,0,0,0,0,0,0,1,0,21,12.8,0.0,0.0,1.3,49,-18372,1126726,20985,39357,1,Ramsdale,1
16,142,6,15,False,2022-11-06T12:00:00Z,0,1,15,90,1,0,1,0,0,0,0,0,0,0,3,40,48.2,0.3,39.0,8.8,51,-16255,1113779,23047,39302,1,Gabriel,2
17,142,6,0,False,2022-11-06T12:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-15,828,0,15,1,Tavares,2
18,142,6,0,False,2022-11-06T12:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-912,28390,536,1448,1,Sambi,3
19,142,6,3,False,2022-11-06T12:00:00Z,0,1,15,90,0,0,1,0,0,0,0,0,0,0,0,5,0.0,13.3,7.0,2.0,68,75592,5359256,167991,92399,1,Martinelli,3
20,142,6,0,False,2022-11-06T12:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-21,1845,0,21,1,Pablo Marí,2
21,147,15,2,True,2022-11-06T14:00:00Z,1,4,15,90,0,0,0,4,0,0,0,0,0,0,0,15,21.6,37.7,4.0,6.3,48,-94,4806,48,142,17,Maitland-Niles,3
22,142,6,0,False,2022-11-06T12:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-225,9983,0,225,1,Torreira,3
23,142,6,0,False,2022-11-06T12:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,9213,11951,10509,1296,1,Nelson,3
24,142,6,0,False,2022-11-06T12:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-6124,157436,1816,7940,1,Turner,1
25,142,6,0,False,2022-11-06T12:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-840,15027,250,1090,1,Fábio Vieira,3
26,142,6,8,False,2022-11-06T12:00:00Z,0,1,15,90,0,0,1,0,0,0,0,0,0,0,2,28,19.6,4.3,4.0,2.8,52,38893,3526758,110925,72032,1,Saliba,2
27,142,6,0,False,2022-11-06T12:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-236,8140,64,300,1,Marquinhos,3
28,142,6,2,False,2022-11-06T12:00:00Z,0,1,15,90,0,0,1,0,0,0,0,0,0,0,0,2,16.4,23.8,51.0,9.1,80,59645,6420680,243765,184120,1,Jesus,4
29,141,14,0,True,2022-11-06T14:00:00Z,3,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,66,-12864,382099,1647,14511,2,Coutinho,3
30,141,14,1,True,2022-11-06T14:00:00Z,3,1,15,11,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.3,2.0,0.2,66,7940,130383,18841,10901,2,Ings,4
31,141,14,2,True,2022-11-06T14:00:00Z,3,1,15,90,0,0,0,1,0,0,0,1,0,3,0,15,27.2,0.0,0.0,2.7,49,-66918,480896,643,67561,2,Martínez,1
32,141,14,0,True,2022-11-06T14:00:00Z,3,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-347,18542,169,516,2,Chambers,2
33,141,14,10,True,2022-11-06T14:00:00Z,3,1,15,78,1,0,0,1,0,0,0,0,0,0,2,22,39.6,1.6,7.0,4.8,46,-1030,121677,1327,2357,2,Digne,2
34,141,14,0,True,2022-11-06T14:00:00Z,3,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-103,6021,0,103,2,Traoré,3
35,141,14,0,True,2022-11-06T14:00:00Z,3,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1486,156770,1366,2852,2,Olsen,1
36,141,14,1,True,2022-11-06T14:00:00Z,3,1,15,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,43,-138,30516,2369,2507,2,Sanson,3
37,141,14,1,True,2022-11-06T14:00:00Z,3,1,15,20,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.6,0.0,0.0,51,-3284,66316,241,3525,2,McGinn,3
38,141,14,0,True,2022-11-06T14:00:00Z,3,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-23,1160,0,23,2,Hause,2
39,141,14,1,True,2022-11-06T14:00:00Z,3,1,15,90,0,0,0,1,0,0,0,1,0,0,0,12,22.6,0.1,0.0,2.3,43,-26205,434311,5721,31926,2,Mings,2
