element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
1,131,16,1,True,2022-10-30T14:00:00Z,5,0,14,27,0,0,0,0,0,0,0,0,0,0,0,2,2.4,1.6,0.0,0.4,42,-247,14398,137,384,1,Cédric,2
2,136,8,10,True,2022-10-29T16:30:00Z,0,0,14,90,0,0,1,0,0,0,0,0,0,4,3,35,39.6,0.0,0.0,4.0,45,-2443,171453,3728,6171,9,Leno,1
3,131,16,3,True,2022-10-30T14:00:00Z,5,0,14,74,0,0,1,0,0,0,0,0,0,0,0,11,2.8,26.2,16.0,4.5,51,63626,438068,77987,14361,1,Xhaka,3
4,131,16,0,True,2022-10-30T14:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,2891,64887,6735,3844,1,Elneny,3
5,131,16,0,True,2022-10-30T14:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-263,12264,199,462,1,Holding,2
6,131,16,9,True,2022-10-30T14:00:00Z,5,0,14,90,1,0,1,0,0,0,0,0,0,0,1,31,45.8,21.6,34.0,10.1,48,-1545,52188,3316,4861,1,Partey,3
7,131,16,10,True,2022-10-30T14:00:00Z,5,0,14,90,1,0,1,0,0,0,0,0,0,0,2,33,49.4,66.3,61.0,17.7,64,-24556,1406616,45562,70118,1,Ødegaard,3
8,131,16,1,True,2022-10-30T14:00:00Z,5,0,14,14,0,0,0,0,0,0,0,0,0,0,0,2,3.0,1.1,0.0,0.4,48,-610,90458,3006,3616,1,Tierney,2
9,131,16,0,True,2022-10-30T14:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-130,12199,0,130,1,Pépé,3
10,131,16,6,True,2022-10-30T14:00:00Z,5,0,14,90,0,0,1,0,0,0,0,0,0,0,0,27,16.6,5.4,4.0,2.6,46,139797,878886,151971,12174,1,White,2
11,131,16,1,True,2022-10-30T14:00:00Z,5,0,14,15,0,0,0,0,0,0,0,0,0,0,0,4,2.2,10.9,6.0,1.9,65,-487,36550,684,1171,1,Nketiah,4
12,131,16,0,True,2022-10-30T14:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-1176,41905,39,1215,1,Smith Rowe,3
13,131,16,4,True,2022-10-30T14:00:00Z,5,0,14,26,0,1,0,0,0,0,0,0,0,0,0,15,21.6,40.8,10.0,7.2,80,228454,1906911,295489,67035,1,Saka,3
14,131,16,6,True,2022-10-30T14:00:00Z,5,0,14,62,0,0,1,0,0,0,0,0,0,0,0,25,8.0,16.3,18.0,4.2,42,6690,98696,10886,4196,1,Tomiyasu,2
15,131,16,6,True,2022-10-30T14:00:00Z,5,0,14,90,0,0,1,0,0,0,0,0,0,2,0,24,11.6,0.0,0.0,1.2,49,14457,1141584,42052,27595,1,Ramsdale,1
16,131,16,6,True,2022-10-30T14:00:00Z,5,0,14,90,0,0,1,0,0,0,0,0,0,0,0,25,11.8,2.3,2.0,1.6,51,22726,1127571,52715,29989,1,Gabriel,2
17,131,16,0,True,2022-10-30T14:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-14,842,0,14,1,Tavares,2
18,131,16,0,True,2022-10-30T14:00:00Z,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1337,29107,207,1544,1,Sambi,3
