element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
1,104,11,0,False,2022-10-16T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-229,14586,227,456,1,Cédric,2
2,103,3,2,True,2022-10-15T14:00:00Z,2,2,11,90,0,0,0,2,0,0,0,0,0,4,0,18,31.6,0.0,0.0,3.2,45,5836,178799,11926,6090,9,Leno,1
3,104,11,3,False,2022-10-16T13:00:00Z,0,1,11,90,0,0,1,0,0,0,0,0,0,0,0,15,8.6,2.8,2.0,1.3,51,-8549,381694,26252,34801,1,Xhaka,3
4,104,11,0,False,2022-10-16T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-5619,65729,301,5920,1,Elneny,3
5,104,11,1,False,2022-10-16T13:00:00Z,0,1,11,8,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,42,-327,12405,329,656,1,Holding,2
6,104,11,3,False,2022-10-16T13:00:00Z,0,1,11,90,0,0,1,0,0,0,0,0,0,0,0,15,10.0,1.0,0.0,1.1,48,3125,49227,7934,4809,1,Partey,3
7,104,11,6,False,2022-10-16T13:00:00Z,0,1,11,72,0,1,1,0,0,0,0,0,0,0,0,25,28.8,23.1,44.0,9.6,64,-49334,1448649,37376,86710,1,Ødegaard,3
8,104,11,1,False,2022-10-16T13:00:00Z,0,1,11,14,0,0,0,0,0,0,0,0,0,0,0,4,2.2,0.3,0.0,0.3,48,-404,92010,3930,4334,1,Tierney,2
9,104,11,0,False,2022-10-16T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-227,12528,0,227,1,Pépé,3
10,104,11,6,False,2022-10-16T13:00:00Z,0,1,11,75,0,0,1,0,0,0,0,0,0,0,0,21,25.8,1.6,0.0,2.7,45,39484,649753,67943,28459,1,White,2
11,104,11,1,False,2022-10-16T13:00:00Z,0,1,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,7.0,0.5,65,-485,36793,1236,1721,1,Nketiah,4
12,104,11,0,False,2022-10-16T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-2584,44855,60,2644,1,Smith Rowe,3
13,104,11,9,False,2022-10-16T13:00:00Z,0,1,11,81,1,0,1,0,0,0,0,0,0,0,1,28,37.4,18.3,19.0,7.5,78,257682,1437635,283723,26041,1,Saka,3
