element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
1,56,14,0,False,2022-09-04T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1207,17133,516,1723,1,Cédric,2
2,59,18,3,False,2022-09-03T14:00:00Z,2,1,6,90,0,0,0,2,0,0,0,0,0,8,0,25,57.6,0.0,0.0,5.8,45,-229,135461,9179,9408,9,Leno,1
3,56,14,2,False,2022-09-04T15:30:00Z,3,1,6,90,0,0,0,3,0,0,0,0,0,0,0,18,15.2,14.9,46.0,7.6,50,8776,308627,50721,41945,1,Xhaka,3
4,56,14,0,False,2022-09-04T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-25515,85016,941,26456,1,Elneny,3
5,56,14,0,False,2022-09-04T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-473,12112,556,1029,1,Holding,2
6,56,14,0,False,2022-09-04T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-9978,30613,131,10109,1,Partey,3
7,56,14,2,False,2022-09-04T15:30:00Z,3,1,6,73,0,0,0,2,0,0,0,0,0,0,0,9,7.0,46.8,14.0,6.8,66,-348491,1677063,149913,498404,1,Ødegaard,3
8,56,14,0,False,2022-09-04T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,978,97616,9302,8324,1,Tierney,2
9,56,14,0,False,2022-09-04T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-2528,15094,0,2528,1,Pépé,3
10,56,14,1,False,2022-09-04T15:30:00Z,3,1,6,79,0,0,0,3,0,0,0,0,0,0,0,8,8.4,6.4,0.0,1.5,45,23639,557430,60655,37016,1,White,2
11,56,14,1,False,2022-09-04T15:30:00Z,3,1,6,16,0,0,0,1,0,0,0,0,0,0,0,5,2.0,0.0,2.0,0.4,66,-4503,37407,1067,5570,1,Nketiah,4
12,56,14,1,False,2022-09-04T15:30:00Z,3,1,6,16,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.8,1.0,0.0,57,-3725,69914,5845,9570,1,Smith Rowe,3
13,56,14,7,False,2022-09-04T15:30:00Z,3,1,6,90,1,0,0,3,0,0,0,1,0,0,1,20,34.2,18.5,52.0,10.5,78,-123281,1091602,34101,157382,1,Saka,3
14,56,14,1,False,2022-09-04T15:30:00Z,3,1,6,10,0,0,0,0,0,0,0,0,0,0,0,3,4.6,0.8,0.0,0.5,42,-5740,81612,4087,9827,1,Tomiyasu,2
15,56,14,2,False,2022-09-04T15:30:00Z,3,1,6,90,0,0,0,3,0,0,0,0,0,3,0,14,25.2,0.0,0.0,2.5,50,-250290,1164227,17642,267932,1,Ramsdale,1
16,56,14,1,False,2022-09-04T15:30:00Z,3,1,6,90,0,0,0,3,0,0,0,0,0,0,0,13,14.0,1.0,10.0,2.5,51,85958,1123841,160863,74905,1,Gabriel,2
17,56,14,0,False,2022-09-04T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-90,1013,0,90,1,Tavares,2
18,56,14,2,False,2022-09-04T15:30:00Z,3,1,6,73,0,0,0,2,0,0,0,0,0,0,0,15,7.4,12.4,0.0,2.0,44,4771,33910,8785,4014,1,Sambi,3
19,56,14,2,False,2022-09-04T15:30:00Z,3,1,6,90,0,0,0,3,0,0,0,0,0,0,0,8,11.4,33.1,53.0,9.8,65,552114,4624595,649197,97083,1,Martinelli,3
20,56,14,0,False,2022-09-04T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-175,2217,0,175,1,Pablo Marí,2
21,60,20,1,False,2022-09-03T14:00:00Z,1,0,6,17,0,0,0,0,0,0,0,0,0,0,0,4,2.6,0.5,2.0,0.5,48,502,5485,1161,659,17,Maitland-Niles,3
22,56,14,0,False,2022-09-04T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1852,14008,0,1852,1,Torreira,3
23,56,14,0,False,2022-09-04T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-114,1609,18,132,1,Nelson,3
24,56,14,0,False,2022-09-04T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,20600,130171,30415,9815,1,Turner,1
25,56,14,1,False,2022-09-04T15:30:00Z,3,1,6,16,0,0,0,1,0,0,0,0,0,0,0,4,4.8,1.2,10.0,1.6,57,-518,8672,600,1118,1,Fábio Vieira,3
26,56,14,0,False,2022-09-04T15:30:00Z,3,1,6,90,0,0,0,3,0,0,0,1,0,0,0,11,10.4,0.9,4.0,1.5,48,250098,2068486,360487,110389,1,Saliba,2
27,56,14,0,False,2022-09-04T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-347,7711,543,890,1,Marquinhos,3
28,56,14,1,False,2022-09-04T15:30:00Z,3,1,6,90,0,0,0,3,0,0,0,1,0,0,0,5,11.0,54.7,22.0,8.8,82,-129699,8025951,102712,232411,1,Jesus,4
29,51,13,1,True,2022-09-03T16:30:00Z,1,1,6,25,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.3,2.0,0.2,67,-59210,431897,9866,69076,2,Coutinho,3
30,51,13,0,True,2022-09-03T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-32114,120463,2332,34446,2,Ings,4
31,51,13,3,True,2022-09-03T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,3,0,16,27.6,0.0,0.0,2.8,49,-35883,453493,11373,47256,2,Martínez,1
32,51,13,0,True,2022-09-03T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1458,22124,490,1948,2,Chambers,2
33,51,13,1,True,2022-09-03T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,1,0,0,0,6,15.6,1.7,0.0,1.7,47,-23237,200480,4696,27933,2,Digne,2
34,51,13,0,True,2022-09-03T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1532,8209,0,1532,2,Traoré,3
35,51,13,0,True,2022-09-03T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-4711,177082,3551,8262,2,Olsen,1
36,51,13,0,True,2022-09-03T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-282,29912,3014,3296,2,Sanson,3
37,51,13,2,True,2022-09-03T16:30:00Z,1,1,6,64,0,0,0,1,0,0,0,0,0,0,0,6,6.6,0.2,0.0,0.7,53,-12511,90210,1495,14006,2,McGinn,3
38,51,13,0,True,2022-09-03T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-154,1505,0,154,2,Hause,2
39,51,13,2,True,2022-09-03T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,10,11.6,0.3,2.0,1.4,43,-33394,318244,7146,40540,2,Mings,2
40,51,13,2,True,2022-09-03T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,1,3.4,0.9,24.0,2.8,73,-81271,245001,6123,87394,2,Watkins,4
41,51,13,0,True,2022-09-03T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,261,20569,2761,2500,2,Nakamba,3
42,51,13,1,True,2022-09-03T16:30:00Z,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,59,-6202,42119,1817,8019,2,Buendía,3
43,51,13,0,True,2022-09-03T16:30:00Z,1,1,6,26,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,47,-80646,674941,10479,91125,2,Cash,2
44,51,13,2,True,2022-09-03T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,5,4.4,0.1,0.0,0.5,44,-1932,21997,691,2623,2,Konsa,2
45,51,13,8,True,2022-09-03T16:30:00Z,1,1,6,90,1,0,0,1,0,0,0,0,0,0,1,22,30.6,0.9,18.0,5.0,47,-88502,564058,19075,107577,2,Bailey,3
46,51,13,2,True,2022-09-03T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,11,7.8,15.2,0.0,2.3,48,8444,44727,12460,4016,2,Douglas Luiz,3
47,51,13,5,True,2022-09-03T16:30:00Z,1,1,6,90,0,1,0,1,0,0,0,0,0,0,0,15,23.8,11.8,12.0,4.8,52,-12099,86293,1792,13891,2,Ramsey,3
48,54,19,0,True,2022-09-03T14:00:00Z,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-3762,49489,2228,5990,6,Chukwuemeka,3
49,51,13,0,True,2022-09-03T16:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-406,3313,172,578,2,Iroegbunam,3
