element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
1,81,18,0,True,2022-10-01T11:30:00Z,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-1572,15362,64,1636,1,Cédric,2
2,84,15,2,True,2022-10-01T14:00:00Z,1,4,9,90,0,0,0,4,0,0,0,0,0,6,0,21,50.2,0.0,0.0,5.0,45,2862,176437,14046,11184,9,Leno,1
3,81,18,9,True,2022-10-01T11:30:00Z,3,1,9,90,1,0,0,1,0,0,0,0,0,0,2,29,36.2,20.2,31.0,8.7,51,7375,317511,32640,25265,1,Xhaka,3
4,81,18,0,True,2022-10-01T11:30:00Z,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-5443,77553,2120,7563,1,Elneny,3
5,81,18,0,True,2022-10-01T11:30:00Z,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-190,12343,382,572,1,Holding,2
6,81,18,10,True,2022-10-01T11:30:00Z,3,1,9,72,1,0,0,1,0,0,0,0,0,0,3,39,53.6,46.4,15.0,11.5,48,-333,26537,1078,1411,1,Partey,3
7,81,18,2,True,2022-10-01T11:30:00Z,3,1,9,79,0,0,0,1,0,0,0,0,0,0,0,9,6.8,16.8,18.0,4.2,65,-218167,1615139,46253,264420,1,Ødegaard,3
8,81,18,1,True,2022-10-01T11:30:00Z,3,1,9,17,0,0,0,0,0,0,0,0,0,0,0,3,5.8,3.4,7.0,1.6,48,-6885,91146,2327,9212,1,Tierney,2
9,81,18,0,True,2022-10-01T11:30:00Z,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-469,13115,0,469,1,Pépé,3
10,81,18,5,True,2022-10-01T11:30:00Z,3,1,9,88,0,1,0,1,0,0,0,0,0,0,0,27,34.8,31.4,3.0,6.9,45,-6394,560494,33022,39416,1,White,2
11,81,18,1,True,2022-10-01T11:30:00Z,3,1,9,10,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.6,2.0,0.3,66,-1040,36648,879,1919,1,Nketiah,4
12,81,18,0,True,2022-10-01T11:30:00Z,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-6913,52361,192,7105,1,Smith Rowe,3
13,81,18,2,True,2022-10-01T11:30:00Z,3,1,9,90,0,0,0,1,0,0,0,0,0,0,0,17,21.2,69.0,34.0,12.4,78,21882,1222918,96664,74782,1,Saka,3
