element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
1,72,4,0,False,2022-09-18T11:00:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-445,16837,114,559,1,Cédric,2
2,78,16,1,False,2022-09-16T19:00:00Z,2,3,8,90,0,0,0,2,0,0,0,0,0,1,0,11,8.0,0.0,0.0,0.8,45,24787,183836,30484,5697,9,Leno,1
3,72,4,5,False,2022-09-18T11:00:00Z,0,3,8,90,0,1,1,0,0,0,0,1,0,0,0,24,25.0,36.2,3.0,6.4,50,-3612,302039,11300,14912,1,Xhaka,3
4,72,4,0,False,2022-09-18T11:00:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-6095,81657,1257,7352,1,Elneny,3
5,72,4,0,False,2022-09-18T11:00:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-189,12232,114,303,1,Holding,2
6,72,4,3,False,2022-09-18T11:00:00Z,0,3,8,77,0,0,1,0,0,0,0,0,0,0,0,13,10.2,6.9,0.0,1.7,48,-900,26315,54,954,1,Partey,3
7,72,4,0,False,2022-09-18T11:00:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,129352,1911739,171659,42307,1,Ødegaard,3
8,72,4,6,False,2022-09-18T11:00:00Z,0,3,8,90,0,0,1,0,0,0,0,0,0,0,0,27,13.6,14.1,3.0,3.1,48,383,98913,3508,3125,1,Tierney,2
9,72,4,0,False,2022-09-18T11:00:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-311,13577,0,311,1,Pépé,3
10,72,4,6,False,2022-09-18T11:00:00Z,0,3,8,85,0,0,1,0,0,0,0,0,0,0,0,27,16.6,27.6,2.0,4.6,45,-2908,558350,20366,23274,1,White,2
11,72,4,1,False,2022-09-18T11:00:00Z,0,3,8,12,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.7,2.0,0.3,66,-631,36624,333,964,1,Nketiah,4
12,72,4,0,False,2022-09-18T11:00:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-3248,58723,104,3352,1,Smith Rowe,3
13,72,4,9,False,2022-09-18T11:00:00Z,0,3,8,90,0,2,1,0,0,0,0,0,0,0,0,28,42.6,41.8,33.0,11.7,78,56733,1222425,108114,51381,1,Saka,3
14,72,4,1,False,2022-09-18T11:00:00Z,0,3,8,4,0,0,0,0,0,0,0,0,0,0,0,2,0.8,0.7,0.0,0.2,42,-2454,76824,1620,4074,1,Tomiyasu,2
15,72,4,6,False,2022-09-18T11:00:00Z,0,3,8,90,0,0,1,0,0,0,0,0,0,2,0,24,17.8,0.0,0.0,1.8,49,-33636,1117890,26476,60112,1,Ramsdale,1
16,72,4,6,False,2022-09-18T11:00:00Z,0,3,8,90,0,0,1,0,0,0,0,0,0,0,0,27,16.2,1.1,1.0,1.8,51,7928,1177943,47611,39683,1,Gabriel,2
17,72,4,0,False,2022-09-18T11:00:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-15,951,0,15,1,Tavares,2
18,72,4,1,False,2022-09-18T11:00:00Z,0,3,8,12,0,0,0,0,0,0,0,0,0,0,0,4,1.6,0.9,0.0,0.3,44,-213,37082,1949,2162,1,Sambi,3
19,72,4,3,False,2022-09-18T11:00:00Z,0,3,8,77,0,0,1,0,0,0,0,0,0,0,0,7,12.4,24.6,23.0,6.0,65,157832,5066895,207791,49959,1,Martinelli,3
20,72,4,0,False,2022-09-18T11:00:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-33,2085,0,33,1,Pablo Marí,2
21,71,2,0,False,2022-09-16T19:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,42,5775,246,204,17,Maitland-Niles,3
22,72,4,0,False,2022-09-18T11:00:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-455,12366,0,455,1,Torreira,3
23,72,4,0,False,2022-09-18T11:00:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-23,1545,7,30,1,Nelson,3
24,72,4,0,False,2022-09-18T11:00:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,2563,162537,9355,6792,1,Turner,1
25,72,4,10,False,2022-09-18T11:00:00Z,0,3,8,90,1,0,1,0,0,0,0,0,0,0,2,31,38.0,15.3,7.0,6.0,57,40,9940,334,294,1,Fábio Vieira,3
26,72,4,15,False,2022-09-18T11:00:00Z,0,3,8,90,1,0,1,0,0,0,0,0,0,0,3,43,53.4,1.0,35.0,8.9,48,63052,2317437,141098,78046,1,Saliba,2
27,72,4,1,False,2022-09-18T11:00:00Z,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.2,0.0,0.0,48,39,8391,285,246,1,Marquinhos,3
28,72,4,6,False,2022-09-18T11:00:00Z,0,3,8,90,1,0,1,0,0,0,0,1,0,0,1,30,43.6,4.5,77.0,12.5,81,-339612,7527911,38460,378072,1,Jesus,4
29,71,17,2,True,2022-09-16T19:00:00Z,1,0,8,83,0,0,1,0,0,0,0,1,0,0,0,5,9.6,19.4,28.0,5.7,67,35041,489310,47703,12662,2,Coutinho,3
30,71,17,1,True,2022-09-16T19:00:00Z,1,0,8,6,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,1.6,2.0,0.1,67,1884,112626,6853,4969,2,Ings,4
31,71,17,6,True,2022-09-16T19:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,1,0,21,11.2,0.0,0.0,1.1,49,-10346,459210,22933,33279,2,Martínez,1
32,71,17,0,True,2022-09-16T19:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-161,21718,339,500,2,Chambers,2
33,71,17,7,True,2022-09-16T19:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,1,23,21.4,4.6,0.0,2.6,47,44382,269058,63744,19362,2,Digne,2
34,71,17,0,True,2022-09-16T19:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-256,7280,0,256,2,Traoré,3
35,71,17,0,True,2022-09-16T19:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-6546,168105,972,7518,2,Olsen,1
36,71,17,0,True,2022-09-16T19:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-584,30036,547,1131,2,Sanson,3
37,71,17,3,True,2022-09-16T19:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,0,15,20.2,13.1,2.0,3.5,53,-715,85148,2037,2752,2,McGinn,3
38,71,17,0,True,2022-09-16T19:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-34,1393,0,34,2,Hause,2
39,71,17,9,True,2022-09-16T19:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,3,26,20.6,10.3,10.0,4.1,43,6034,326716,16532,10498,2,Mings,2
40,71,17,2,True,2022-09-16T19:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,0,10,17.6,12.2,21.0,5.1,73,-16312,214492,14914,31226,2,Watkins,4
41,71,17,0,True,2022-09-16T19:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-597,19109,284,881,2,Nakamba,3
42,71,17,1,True,2022-09-16T19:00:00Z,1,0,8,23,0,0,0,0,0,0,0,0,0,0,0,7,5.2,11.3,0.0,1.7,59,5653,50616,8411,2758,2,Buendía,3
