element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
1,127,17,0,False,2022-10-23T13:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-94,14516,166,260,1,Cédric,2
2,124,11,2,False,2022-10-23T13:00:00Z,2,3,13,90,0,0,0,2,0,0,0,0,0,3,0,15,23.4,0.0,0.0,2.3,45,-1605,173006,4340,5945,9,Leno,1
3,127,17,10,False,2022-10-23T13:00:00Z,1,1,13,90,1,0,0,1,0,0,0,0,0,0,3,34,49.0,41.6,34.0,12.5,51,16549,368620,34061,17512,1,Xhaka,3
4,127,17,0,False,2022-10-23T13:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-2121,60967,211,2332,1,Elneny,3
5,127,17,0,False,2022-10-23T13:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-47,12380,260,307,1,Holding,2
6,127,17,2,False,2022-10-23T13:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,14,14.4,14.5,2.0,3.1,48,4234,53204,6924,2690,1,Partey,3
7,127,17,2,False,2022-10-23T13:00:00Z,1,1,13,82,0,0,0,1,0,0,0,0,0,0,0,20,9.4,43.8,11.0,6.4,64,48505,1427964,85890,37385,1,Ødegaard,3
8,127,17,1,False,2022-10-23T13:00:00Z,1,1,13,18,0,0,0,0,0,0,0,0,0,0,0,3,2.2,0.7,2.0,0.5,48,-10,90247,2567,2577,1,Tierney,2
9,127,17,0,False,2022-10-23T13:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-97,12333,0,97,1,Pépé,3
10,127,17,6,False,2022-10-23T13:00:00Z,1,1,13,71,0,1,0,1,0,0,0,0,0,0,1,29,37.0,29.9,4.0,7.1,45,111248,732343,129215,17967,1,White,2
11,127,17,1,False,2022-10-23T13:00:00Z,1,1,13,19,0,0,0,0,0,0,0,0,0,0,0,-1,1.4,2.3,18.0,2.2,65,-272,36526,488,760,1,Nketiah,4
12,127,17,0,False,2022-10-23T13:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-783,43037,33,816,1,Smith Rowe,3
13,127,17,1,False,2022-10-23T13:00:00Z,1,1,13,90,0,0,0,1,0,0,0,1,0,0,0,2,3.0,3.0,11.0,1.7,79,198054,1663523,318352,120298,1,Saka,3
14,127,17,2,False,2022-10-23T13:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,19,18.0,6.8,2.0,2.7,42,10293,91333,14003,3710,1,Tomiyasu,2
15,127,17,2,False,2022-10-23T13:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,2,0,12,14.8,0.0,0.0,1.5,49,17553,1120866,45235,27682,1,Ramsdale,1
16,127,17,2,False,2022-10-23T13:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,17,32.0,2.2,4.0,3.8,51,48903,1100829,72819,23916,1,Gabriel,2
17,127,17,0,False,2022-10-23T13:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-7,857,0,7,1,Tavares,2
18,127,17,0,False,2022-10-23T13:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-871,30321,215,1086,1,Sambi,3
19,127,17,2,False,2022-10-23T13:00:00Z,1,1,13,70,0,0,0,1,0,0,0,0,0,0,0,9,10.4,5.8,16.0,3.2,67,321228,5227821,365963,44735,1,Martinelli,3
20,127,17,0,False,2022-10-23T13:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-16,1901,0,16,1,Pablo Marí,2
21,127,1,0,True,2022-10-23T13:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-316,5023,19,335,17,Maitland-Niles,3
22,127,17,0,False,2022-10-23T13:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-203,10468,0,203,1,Torreira,3
23,127,17,0,False,2022-10-23T13:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-3,1914,48,51,1,Nelson,3
24,127,17,0,False,2022-10-23T13:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-920,167134,5121,6041,1,Turner,1
25,127,17,1,False,2022-10-23T13:00:00Z,1,1,13,7,0,0,0,0,0,0,0,0,0,0,0,1,2.4,0.5,0.0,0.3,57,-347,16219,616,963,1,Fábio Vieira,3
26,127,17,2,False,2022-10-23T13:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,17,21.0,1.0,0.0,2.2,51,219320,3326482,260983,41663,1,Saliba,2
27,127,17,0,False,2022-10-23T13:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-72,8520,137,209,1,Marquinhos,3
28,127,17,2,False,2022-10-23T13:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,-7,12.0,4.4,53.0,6.9,80,10073,6433484,184807,174734,1,Jesus,4
29,121,4,1,True,2022-10-23T13:00:00Z,4,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.1,0.0,0.1,66,-15515,408934,3097,18612,2,Coutinho,3
30,121,4,12,True,2022-10-23T13:00:00Z,4,0,13,90,2,0,1,0,0,0,0,1,0,0,3,55,77.2,32.2,40.0,14.9,66,-3250,99612,1654,4904,2,Ings,4
31,121,4,7,True,2022-10-23T13:00:00Z,4,0,13,90,0,0,1,0,0,0,0,0,0,3,0,28,29.0,10.0,0.0,3.9,49,-28093,563124,3861,31954,2,Martínez,1
32,121,4,1,True,2022-10-23T13:00:00Z,4,0,13,9,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,43,-236,18754,222,458,2,Chambers,2
33,121,4,0,True,2022-10-23T13:00:00Z,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-7109,126678,42,7151,2,Digne,2
34,121,4,0,True,2022-10-23T13:00:00Z,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-71,6254,0,71,2,Traoré,3
35,121,4,0,True,2022-10-23T13:00:00Z,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-2353,159890,879,3232,2,Olsen,1
36,121,4,0,True,2022-10-23T13:00:00Z,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,335,27249,1027,692,2,Sanson,3
37,121,4,1,True,2022-10-23T13:00:00Z,4,0,13,27,0,0,0,0,0,0,0,0,0,0,0,7,6.6,0.0,0.0,0.7,52,-2478,73119,544,3022,2,McGinn,3
38,121,4,0,True,2022-10-23T13:00:00Z,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-17,1201,0,17,2,Hause,2
39,121,4,10,True,2022-10-23T13:00:00Z,4,0,13,90,0,1,1,0,0,0,0,0,0,0,1,31,12.2,0.3,4.0,1.7,44,-49424,456354,2135,51559,2,Mings,2
40,121,4,6,True,2022-10-23T13:00:00Z,4,0,13,80,1,0,1,0,0,0,0,0,0,0,0,17,44.8,16.0,103.0,16.4,72,-27463,206915,3304,30767,2,Watkins,4
